0.0,0.0,-0.0,0.0
0.08,1.16655e-05,4.73273928492e-10,2.195834716628802e-07
0.235,1.50957e-05,5.67928736928e-10,2.3817232605183165e-07
0.39,1.92124e-05,6.62583545363e-10,2.57723743754415e-07
0.545,2.34367e-05,7.57238296956e-10,2.752939491113645e-07
0.7,2.7712e-05,8.51893105391e-10,2.907017995263926e-07
0.855,3.27353e-05,9.46547856984e-10,3.071357821565576e-07
1.01,3.7758e-05,1.04120272226e-09,3.220739074044757e-07
1.165,4.27808e-05,1.13585747386e-09,3.3552985313482026e-07
1.32,4.8404e-05,1.23051222545e-09,3.4938144624714354e-07
1.475,5.42243e-05,1.32516709073e-09,3.6311056471044646e-07
1.63,6.00449e-05,1.41982184232e-09,3.777825008330954e-07
1.785,6.58654e-05,1.51447659391e-09,3.889126036252668e-07
1.94,7.24042e-05,1.60913145919e-09,3.997215867974725e-07
2.095,7.90236e-05,1.70378621078e-09,4.116389265944314e-07
2.25,8.56434e-05,1.79844096238e-09,4.2693827681825096e-07
2.405,9.2263e-05,1.89309571397e-09,4.3650494477243487e-07
2.56,9.93011e-05,1.98775046556e-09,4.4418977616325394e-07
2.715,0.00010672,2.08240544453e-09,4.550375940222349e-07
2.87,0.000114139,2.17706019612e-09,4.687064200313724e-07
3.025,0.000121558,2.27171494771e-09,4.822360960545398e-07
3.28,0.000169769,2.83964368464e-09,5.361201539217853e-07
3.55,0.000214225,3.31291766997e-09,5.81558104163589e-07
3.82,0.000261913,3.78619142793e-09,6.189313971231934e-07
4.09,0.000312431,4.25946564064e-09,6.515194325735872e-07
4.36,0.000365529,4.73273939861e-09,6.867865893383828e-07
4.63,0.000422495,5.20601315657e-09,7.293197382992035e-07
5.08,0.000607213,6.62583533995e-09,8.152486221165668e-07
5.625,0.000742117,7.57238285587e-09,8.737088549217952e-07
6.17,0.000885757,8.51893128129e-09,9.285233081409254e-07
6.715,0.00103772,9.46547879721e-09,9.79500229980986e-07
7.26,0.00119764,1.04120263131e-08,1.028266043659832e-06
8.385,0.00190872,1.41982181958e-08,1.1964359408148148e-06
10.08,0.00251195,1.70378625626e-08,1.3139821670768977e-06
11.775,0.00316778,1.98775051103e-08,1.4200772354829088e-06
13.47,0.00387266,2.27171494771e-08,1.5183865669792242e-06
15.165,0.00462342,2.55567920249e-08,1.6108326366220035e-06
16.86,0.00541681,2.83964363916e-08,1.7010134116122152e-06
18.555,0.00625397,3.12360789394e-08,1.7881776536470305e-06
20.25,0.0071292,3.40757251251e-08,1.861646185262532e-06
21.945,0.00804177,3.69153676729e-08,1.9471540660195853e-06
23.64,0.00899174,3.97550102207e-08,2.0131037817827443e-06
25.335,0.00997598,4.25946564064e-08,2.09445046681366e-06
27.03,0.0109914,4.54342989542e-08,2.154614166558932e-06
28.725,0.0120401,4.8273941502e-08,2.2270600395806667e-06
30.42,0.0131157,5.11135840497e-08,2.300199113351093e-06
34.955,0.0201244,6.81514502503e-08,2.6662595613905757e-06
39.69,0.0275164,8.4242761659e-08,2.9804422983388024e-06
44.425,0.0355541,1.00334073068e-07,3.28086559530645e-06
49.16,0.0441763,1.16425391752e-07,3.5571431485949395e-06
53.895,0.0533255,1.32516710437e-07,3.82318326835492e-06
58.63,0.0629594,1.4860801457e-07,4.0652992369774346e-06
70.925,0.0984271,2.02561248443e-07,4.83410756757348e-06
83.22,0.138138,2.56514467765e-07,5.516750754487999e-06
95.515,0.181516,3.10467701638e-07,6.151399242599999e-06
107.81,0.228156,3.64420935512e-07,6.7369215204610595e-06
120.105,0.277743,4.18374169385e-07,7.2724809996903255e-06
132.4,0.330043,4.72327403259e-07,7.782399465496225e-06
144.695,0.384875,5.26280608028e-07,8.271855192044363e-06
156.99,0.442072,5.80233871005e-07,8.733666529222458e-06
169.285,0.501488,6.34187075775e-07,9.171101744337926e-06
181.58,0.563027,6.88140338752e-07,9.610674333115639e-06
193.875,0.626563,7.42093543522e-07,1.0034756732335464e-05
