0.95,1.63644e-05,6.67928702569e-10
0.97,2.01188e-05,7.67928725054e-10
0.99,2.40303e-05,8.67928747539e-10
1.01,2.84949e-05,9.6792871318e-10
1.01,3.17657e-05,1.04120272226e-09
1.015,3.06499e-05,1.01620264559e-09
1.02,2.95336e-05,9.91202682599e-10
1.025,2.84175e-05,9.6620271961e-10
1.03,2.73014e-05,9.41202699778e-10
1.035,2.61853e-05,9.16202679946e-10
1.04,2.50692e-05,8.91202660114e-10
1.045,2.39531e-05,8.66202697125e-10
1.05,2.2947e-05,8.41202677293e-10
1.055,2.19313e-05,8.16202657461e-10
1.06,2.09925e-05,7.91202694472e-10
1.065,2.00539e-05,7.6620267464e-10
1.07,1.91153e-05,7.41202654808e-10
1.075,1.81766e-05,7.16202691819e-10
1.08,1.72379e-05,6.91202671987e-10
1.085,1.62993e-05,6.66202652155e-10
1.085,1.61634e-05,6.62583545363e-10
1.105,1.99168e-05,7.62583511005e-10
1.125,2.37918e-05,8.6258353349e-10
1.145,2.82564e-05,9.62583499131e-10
1.165,3.27203e-05,1.06258346477e-09
1.165,3.59913e-05,1.13585747386e-09
1.17,3.48756e-05,1.11085751087e-09
1.175,3.37593e-05,1.08585743419e-09
1.18,3.26432e-05,1.0608574712e-09
1.185,3.15272e-05,1.03585750821e-09
1.19,3.04111e-05,1.01085743154e-09
1.195,2.9295e-05,9.8585746855e-10
1.2,2.8179e-05,9.60857505561e-10
1.205,2.70629e-05,9.35857485729e-10
1.21,2.59468e-05,9.10857465897e-10
1.215,2.48307e-05,8.85857446065e-10
1.22,2.37146e-05,8.60857483076e-10
1.225,2.28351e-05,8.35857463244e-10
1.23,2.17305e-05,8.10857443412e-10
1.235,2.07917e-05,7.85857480423e-10
1.24,1.98531e-05,7.60857460591e-10
1.24,1.97172e-05,7.57238296956e-10
1.26,2.35531e-05,8.57238319441e-10
1.28,2.80178e-05,9.57238285082e-10
1.3,3.24817e-05,1.05723825072e-09
1.32,3.69458e-05,1.15723833005e-09
1.32,4.07221e-05,1.23051222545e-09
1.325,3.94287e-05,1.20551226246e-09
1.33,3.81349e-05,1.18051229947e-09
1.335,3.69404e-05,1.15551222279e-09
1.34,3.57529e-05,1.13051225981e-09
1.345,3.46367e-05,1.10551229682e-09
1.35,3.35207e-05,1.08051222014e-09
1.355,3.24046e-05,1.05551225715e-09
1.36,3.12886e-05,1.03051229416e-09
1.365,3.01725e-05,1.00551221749e-09
1.37,2.90564e-05,9.805122545e-10
1.375,2.79404e-05,9.55512291512e-10
1.38,2.68243e-05,9.3051227168e-10
1.385,2.57082e-05,9.05512251848e-10
1.39,2.45921e-05,8.80512232015e-10
1.395,2.3476e-05,8.55512269027e-10
1.395,2.33144e-05,8.51893105391e-10
1.415,2.77773e-05,9.51893071033e-10
1.435,3.22431e-05,1.05189315036e-09
1.455,3.67072e-05,1.151893116e-09
1.475,4.18285e-05,1.25189308164e-09
1.475,4.56187e-05,1.32516709073e-09
1.48,4.43257e-05,1.30016701405e-09
1.485,4.3032e-05,1.27516705106e-09
1.49,4.17387e-05,1.25016708807e-09
1.495,4.04453e-05,1.2251670114e-09
1.5,3.91519e-05,1.20016704841e-09
1.505,3.78585e-05,1.17516708542e-09
1.51,3.66301e-05,1.15016700875e-09
1.515,3.55142e-05,1.12516704576e-09
1.52,3.4398e-05,1.10016708277e-09
1.525,3.3282e-05,1.07516700609e-09
1.53,3.21659e-05,1.0501670431e-09
1.535,3.10499e-05,1.02516708012e-09
1.54,2.99338e-05,1.00016700344e-09
1.545,2.88178e-05,9.75167040451e-10
1.55,2.77017e-05,9.50167020619e-10
1.55,2.75401e-05,9.46547856984e-10
1.57,3.20028e-05,1.04654793631e-09
1.59,3.64685e-05,1.14654790195e-09
1.61,4.15521e-05,1.24654786759e-09
